ID,duration,wav,wav_format,wav_opts

noise-free-sound-0000_0,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0000_0.wav,wav,
noise-free-sound-0000_1,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0000_1.wav,wav,
noise-free-sound-0000_2,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0000_2.wav,wav,
noise-free-sound-0000_3,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0000_3.wav,wav,
noise-free-sound-0000_4,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0000_4.wav,wav,
noise-free-sound-0001_0,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_0.wav,wav,
noise-free-sound-0001_1,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_1.wav,wav,
noise-free-sound-0001_2,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_2.wav,wav,
noise-free-sound-0001_3,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_3.wav,wav,
noise-free-sound-0001_4,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_4.wav,wav,
noise-free-sound-0001_5,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_5.wav,wav,
noise-free-sound-0001_6,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_6.wav,wav,
noise-free-sound-0001_7,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_7.wav,wav,
noise-free-sound-0001_8,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_8.wav,wav,
noise-free-sound-0001_9,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_9.wav,wav,
noise-free-sound-0001_10,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_10.wav,wav,
noise-free-sound-0001_11,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_11.wav,wav,
noise-free-sound-0001_12,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_12.wav,wav,
noise-free-sound-0002_0,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_0.wav,wav,
noise-free-sound-0002_1,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_1.wav,wav,
noise-free-sound-0002_2,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_2.wav,wav,
noise-free-sound-0002_3,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_3.wav,wav,
noise-free-sound-0002_4,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_4.wav,wav,
noise-free-sound-0002_5,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_5.wav,wav,
noise-free-sound-0002_6,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_6.wav,wav,
noise-free-sound-0002_7,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_7.wav,wav,
noise-free-sound-0002_8,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_8.wav,wav,
noise-free-sound-0002_9,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_9.wav,wav,
noise-free-sound-0002_10,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_10.wav,wav,
noise-free-sound-0002_11,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_11.wav,wav,
noise-free-sound-0002_12,3.0,dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_12.wav,wav,
